SAMPLE,GROUP,SNA,TJAI,ABA,HPA
Y107HC1,Y,183.3,227.7,39.9,49.1
Y107HC2,Y,224.9,264.3,36.2,65
Y107HC3,Y,235,255.9,39.1,34.1
Y107HC4,Y,247.4,290.7,41.6,47.4
Y107HC5,Y,246,323.4,39.9,18.8
Y107HC6,Y,257.3,257.6,51.6,35.4
S47 C1,S,221.9,239.9,57.3,51.7
S47 C2,S,198.6,245.8,25.9,55
S47 C3,S,207.2,212.6,46.5,48.8
S47 C4,S,171.4,230.4,49.4,63.9
S47 C5,S,146.4,175.2,47.2,46.8
S47 C6,S,133.4,170,48.7,51.9
PPwt C1,PP,220.3,256.4,27.3,71.6
PPwt C2,PP,239.3,244.2,36.2,58.8
PPwt C3,PP,225.3,285.4,29.9,55.9
PPwt C4,PP,233,233.9,37.2,71
PPwt C5,PP,182.5,306.2,37.9,49.7
PPwt C6,PP,185.1,223.5,39.5,50.9